# BEAST v1.8.0pre Prerelease r5356, r5356
# Generated Fri Dec 13 11:35:16 NZDT 2013 [seed=1386887715540]
state	posterior	prior	likelihood	treeLikelihood	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline	meanRate	coefficientOfVariation	covariance	treeModel.rootHeight	clock.rate	binary.frequencies1	binary.frequencies2	tmrca(baltic)	tmrca(baltoslav)	tmrca(celtic)	tmrca(germanic)	tmrca(indoiranian)	tmrca(iraniangrp)	tmrca(italic)	tmrca(northwestgermnc)	tmrca(toch)	tmrca(westgermnc)	age(luvian)	age(avestan)	age(oldnorse)	age(latin)	age(oldpersian)	age(oldhighgerman)	age(hittite)	age(vedic)	age(ancientgreek)	age(lycian)	age(gothic)	age(oldchurchslavonic)	age(oscan)	age(oldirish)	age(tocharian_a)	age(classicalarmenian)	age(oldenglish)	age(tocharian_b)	age(oldprussian)	age(umbrian)
0	-19383.576945754743	-292.15388869785636	-19091.423057056887	-19091.423057056887	0.085	0.085	0.085	0.085	0.085	5.0	5.0	5.0	4.0	4.0	-1937986.8061368978	1.9999999999999996E-4	2.7404566767092257E-16	0.9772727272727271	7580.167700000002	2.0E-4	0.888533238758967	0.111466761241033	1316.7700000000004	2222.548700000001	2952.6747000000014	2827.6267000000016	6083.651700000002	6083.651700000002	6083.651700000002	2166.5188000000016	2222.548700000001	1868.8903000000028	3450.0	2500.0	800.0	2100.0	2550.0	1000.0	3550.0	3150.0	2400.0	2350.0	1650.0	1000.0	2225.0	1250.0	1375.0	1500.0	1000.0	1375.0	675.0	2200.0
2000	-16069.208019885858	-236.3733874613087	-15832.83463242455	-15832.83463242455	3.4879043414252036	1.3665207775732318	0.0826786788236553	0.5717246568262206	2.000916979898836	1.0	5.0	4.0	8.0	5.0	-1484709.3685465537	6.375341091367655E-5	6.447788371087771E-16	0.9772727272727271	6391.072159021017	6.375341091367658E-5	0.8741718527816997	0.12582814721830032	1348.7912668840993	2736.791887806328	2120.6632524831657	2006.9120969900277	4191.87257834847	4191.87257834847	4413.849656453287	1706.4444956354237	1862.0259297087864	1521.5699850452768	3805.4111703802246	2579.8900004620054	838.8079305175371	2052.4812567782205	2479.426311894178	1013.2931898477008	3612.4683011845673	2953.9894939770197	2317.2058383777658	2292.8670700268717	1640.9949533089177	1038.3643726820635	2340.2117179734673	1068.9609221132318	1769.289498572293	1342.6829362304622	1159.7313366224896	1254.1018735163307	687.792301324226	2441.7336832026645
4000	-15719.192579738949	-195.23411767007093	-15523.958462068878	-15523.958462068878	12.969537995575141	2.0729442265695175	0.38863170535986724	8.771167905585918	0.9018989563174518	2.0	5.0	1.0	2.0	13.0	-163623.0219173099	5.410149206766753E-5	2.532699720445412E-16	0.9772727272727271	7242.7580107142	5.410149206766752E-5	0.8722693495891006	0.1277306504108995	1317.127031884817	3045.7443893318623	2384.912404521263	2202.272664255215	3752.621430900853	2831.363473215494	2900.9117051415724	1777.0172783413166	1833.7680111579734	1517.841236568706	3521.400272920674	2674.9265681432425	848.196310019728	2167.777526853661	2324.0769492069144	1116.6855827034792	3636.9069166897566	2953.9894939770197	2331.2905758916063	2420.994923832529	1689.464433646798	996.2680655515949	2242.4676843890697	1133.567180496003	1404.3082475370088	1404.428166836692	1019.7148093610837	1380.1909401266905	719.1857799071311	2167.775356737326
6000	-15695.246606513623	-187.07284231228184	-15508.173764201341	-15508.173764201341	7.0063785420300935	6.869536645442564	1.7764647064317423	30.980815020739005	1.0248621021739706	1.0	6.0	2.0	5.0	9.0	-47815.906877548194	5.341736097435224E-5	7.695410143974604E-16	0.9772727272727274	6929.3587960120185	5.341736097435224E-5	0.873778923951313	0.12622107604868732	1356.446237186616	3006.785444904402	2532.0556230306365	2213.545219539502	3647.8552346871156	2974.9717341550067	2853.4281966019817	1847.0071190426136	1807.9993719638007	1534.9143024766179	3567.4752119373798	2609.45705298428	860.7242876160976	2206.036898580729	2474.04691584729	1039.104945195834	3480.8310274544797	2956.0500986322654	2431.861527951364	2460.9829417128867	1629.379512034282	1066.4320345140707	2130.9528580074734	1249.7776207424338	1429.0882444296888	1401.5770563237784	1004.6367338778463	1386.4932566706634	637.6780506376621	2365.196265242293
8000	-15692.178478803824	-189.4027868613449	-15502.77569194248	-15502.77569194248	20.886538755387313	49.90171802693502	2.7764782956611977	83.5866714678003	27.323237129636507	1.0	8.0	6.0	7.0	1.0	-47092.58329632076	5.009133172637881E-5	1.3677299955203945E-16	0.9772727272727271	7812.0398013291315	5.009133172637878E-5	0.8737601557492105	0.12623984425078982	1322.644073825604	3226.078395780723	2730.902628248921	2232.998551287485	3679.929213201072	2992.632202575413	2878.4980556007213	1910.5620112771765	1789.1510239318038	1560.6193668849967	3512.936520887756	2485.128222647117	878.310163643257	2006.1208677816833	2342.194111746109	1118.4032079234871	3283.2965709779583	2942.35029828288	2410.4419574972544	2399.404065731594	1638.0944465626683	1062.3423253224946	2258.917884130594	1305.566153660866	1429.0882444296888	1535.1424164597704	1102.9985197347312	1255.129788043445	810.6291451043571	2257.7508658481065
10000	-15688.309943444026	-177.93047690361328	-15510.379466540413	-15510.379466540413	124.49614801276711	451.5326757187642	25.469963936767606	1789.0231052680804	299.54214832387436	3.0	2.0	4.0	3.0	11.0	-2946.980573550686	4.955240024095551E-5	8.295632492220474E-16	0.9772727272727271	7422.244933658078	4.95524002409555E-5	0.8694918939503739	0.1305081060496264	1319.7259164393618	3002.204584750318	2705.340981267773	2331.1839140570087	3671.720497166334	2861.8067334471034	2926.5658677722095	1857.6847083593561	1785.1665213620067	1542.3717167698223	3324.4041332210577	2485.128222647117	773.7548469611911	2064.21308988524	2359.137107578361	1050.546475013963	3283.2965709779583	2984.8687500494134	2410.4419574972544	2328.350494327486	1638.0944465626683	924.8932911854981	2222.015886742568	1132.6673343329765	1423.3425011247457	1417.470778177625	978.1328667320129	1341.1197614419432	544.2769948885805	2217.8384430448837
12000	-15697.97499229347	-183.25018659917325	-15514.724805694297	-15514.724805694297	349.50142831697	246.6685718602091	345.98854943039174	117947.74199475205	305.21379897691895	7.0	4.0	9.0	2.0	1.0	-975.1476147064149	4.883979297190887E-5	7.013893052038151E-16	0.9772727272727274	8235.681010491227	4.883979297190887E-5	0.8723162240230687	0.12768377597693165	1398.3542529599454	3106.577006678835	2627.021657234141	2379.026278169804	3747.0867850812697	3287.1193074216153	2913.7444933086776	1769.0157656402753	1821.7716177530472	1523.3697741508904	3446.53839663639	2517.9631712827522	839.7657531274384	2093.2871087900808	2339.963333128664	1045.961885968186	3505.6858200594897	2984.8687500494134	2418.119646581428	2438.24837798718	1656.3018798974163	1026.4572795414265	2096.571029627071	1150.9924786267954	1316.6216332648678	1455.7638543176024	1063.504172192171	1368.1188768240406	704.2617106541645	2305.8758109189084
14000	-15684.212868387682	-181.67636311002704	-15502.536505277654	-15502.536505277654	792.7393050310751	315.35580452358477	4415.785294253354	132656.602460613	1013.2963649140979	2.0	5.0	10.0	5.0	1.0	-432.17174466180836	4.8905024403884756E-5	1.2608167765490272E-15	0.9772727272727273	7891.466005958546	4.890502440388475E-5	0.8727196113440409	0.12728038865595964	1345.4974018021694	3190.081205155204	2421.932545972545	2295.2498811770997	3700.9366010887047	3049.073127464346	2930.970656099728	1785.6358747109732	1799.3411655759453	1533.543901580095	3448.110459310899	2517.9631712827522	769.3952236017485	2063.6067179580655	2327.523084756865	1048.424676004474	3601.098163760541	2919.890682522549	2504.0958669737342	2438.24837798718	1656.3018798974163	998.4026585806439	2246.2091498424206	1198.3576452311431	1387.4366686770168	1435.8054519289133	1001.9275651355662	1250.8140299383376	515.4240316658603	2305.8758109189084
16000	-15685.55356092841	-181.6809593304472	-15503.872601597963	-15503.872601597963	2628.840685501535	93.47194737822018	78547.06774734879	1791778.0920577974	2976.4859211834923	2.0	3.0	9.0	3.0	6.0	-729.0594022820499	4.8400895537810857E-5	0.0	0.9772727272727271	7628.969937476838	4.8400895537810857E-5	0.8756377527101072	0.1243622472898932	1345.4890337455388	3257.3698012883783	2736.7626622196804	2358.7862555721167	3700.9481314169616	3049.0763460818725	2810.511280795463	1840.5049170911052	1728.4957496454429	1539.743828700428	3597.3495157155903	2517.9631712827522	754.1071522853616	2032.3460956612519	2421.6946986699636	1065.1754688893782	3364.558471296012	2902.107944736072	2482.9408825479495	2316.1066622106264	1698.812874769167	1006.5862889634138	2307.778697262859	1190.4030040879118	1255.6657184594262	1344.6401538480745	1070.7571928045531	1410.4231033875515	667.3809852307277	2255.302404961663
18000	-15688.206920377575	-182.3960819554324	-15505.810838422143	-15505.810838422143	11055.16804080646	733.0080219268345	1132388.1765280755	1890047.3141172454	197017.17140652915	5.0	3.0	6.0	4.0	5.0	-335.70943916458543	4.8509939504397225E-5	4.2369512898394977E-16	0.9772727272727271	6886.819306849964	4.850993950439721E-5	0.8764981151503327	0.12350188484966777	1357.1627752891932	3287.4572786058243	2880.8348439729	2353.864784281947	3578.0082501508186	2845.6182709579425	2934.005549163637	1849.519707702702	1803.5858509402233	1537.6613688674029	3584.604325976731	2506.8266334057616	820.0469366104013	2202.0661317528784	2390.835452816498	1017.1712302519508	3274.9730337054743	2902.107944736072	2480.42530431309	2377.3196299607275	1638.5073025108868	938.313527047966	2146.3231487020853	1162.3038565190243	1290.3012546658751	1440.5240852646432	1065.9256699418916	1351.0018537652738	664.1002291244052	2337.33608517716
