# BEAST v1.8.0pre Prerelease r5356, r5356
# Generated Fri Dec 13 11:38:51 NZDT 2013 [seed=1386887931252]
state	posterior	prior	likelihood	treeLikelihood	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline	meanRate	coefficientOfVariation	covariance	treeModel.rootHeight	clock.rate	frequencies1	frequencies2	hfrequencies1	hfrequencies2	bcov.alpha	bcov.s	tmrca(baltic)	tmrca(baltoslav)	tmrca(celtic)	tmrca(germanic)	tmrca(indoiranian)	tmrca(iraniangrp)	tmrca(italic)	tmrca(northwestgermnc)	tmrca(toch)	tmrca(westgermnc)	age(luvian)	age(avestan)	age(oldnorse)	age(latin)	age(oldpersian)	age(oldhighgerman)	age(hittite)	age(vedic)	age(ancientgreek)	age(lycian)	age(gothic)	age(oldchurchslavonic)	age(oscan)	age(oldirish)	age(tocharian_a)	age(classicalarmenian)	age(oldenglish)	age(tocharian_b)	age(oldprussian)	age(umbrian)
0	-27157.004011834888	-294.6294073320071	-26862.374604502882	-26862.374604502882	0.085	0.085	0.085	0.085	0.085	5.0	5.0	5.0	4.0	4.0	-1937986.8061368978	1.9999999999999996E-4	2.7404566767092257E-16	0.9772727272727271	7580.167700000002	2.0E-4	0.5	0.5	0.5	0.5	0.5	0.5	1316.7700000000004	2222.548700000001	2952.6747000000014	2827.6267000000016	6083.651700000002	6083.651700000002	6083.651700000002	2166.5188000000016	2222.548700000001	1868.8903000000028	3450.0	2500.0	800.0	2100.0	2550.0	1000.0	3550.0	3150.0	2400.0	2350.0	1650.0	1000.0	2225.0	1250.0	1375.0	1500.0	1000.0	1375.0	675.0	2200.0
2000	-18219.19857401011	-328.2839986466084	-17890.914575363502	-17890.914575363502	0.8339368689431168	0.2920088522381485	0.07981673337305897	0.11086332100955114	0.8979933345401526	11.0	3.0	6.0	2.0	1.0	-366062.5471444291	7.499890094012387E-5	3.65399578174765E-16	0.9772727272727271	5069.151296582898	7.499890094012384E-5	0.5090432633385769	0.4909567366614232	0.5	0.5	0.41192207416385046	0.5	1220.2524140552282	2160.036182378756	2161.3911858108872	2089.575241900039	3222.4216096910777	2967.0496379557853	4234.921867751014	1762.0353705435298	1998.568946955131	1581.30601279488	3961.976823753475	2594.5657601453145	897.6745336146525	2525.423362482321	2393.973803693349	1062.0425346584525	3932.5693563606083	2645.176983959128	2557.9444868081873	2230.935544117315	1643.8701598937253	961.267423560353	2444.7559526691157	1701.304044362641	1710.1540120997859	1228.2264648780447	1255.6895868323247	1695.2394327970392	866.1536983115814	2434.0268669352286
4000	-17592.027146677752	-201.46863208026727	-17390.558514597484	-17390.558514597484	4.206256648992142	0.815673405623737	0.07888059958601434	0.4984569406059162	0.43139884270657824	8.0	4.0	1.0	3.0	7.0	-160286.2783439319	3.7680734532821975E-5	5.454624314028709E-16	0.9772727272727271	5837.465663912022	3.7680734532821975E-5	0.5090432633385769	0.4909567366614232	0.5	0.5	0.7008995455235503	0.5	1331.4821096343996	2808.6847260118197	2980.3134685110304	2463.3143280660465	3577.5203830268465	3078.455954719926	2925.4228808462694	2064.537449728987	1743.2589735410677	1498.190468489482	3396.9227073938273	2594.5657601453145	850.897491957914	2090.5069118604756	2448.7190914171383	990.4175023648334	3787.31494197505	2645.176983959128	2389.075609773346	2419.9813579703828	1632.0576378221865	984.6533101537827	2269.7479944183556	1496.7225915047734	1341.8437649726543	1443.7548873126464	966.6315384614838	1365.5361141586066	695.7213169644876	2194.0935093519247
6000	-17490.94744335463	-187.057750056342	-17303.88969329829	-17303.88969329829	48.595102244333475	12.011860956720291	0.5021913534185589	31.899193434260393	0.9635570196113034	5.0	5.0	1.0	7.0	5.0	-28313.18097312274	3.7828017896216746E-5	1.0866773475527385E-15	0.9772727272727271	5773.2504793878725	3.782801789621674E-5	0.5185003665889228	0.4814996334110772	0.5	0.5	0.8279792583223494	0.6221153193077762	1331.5018402064393	3021.5300277871784	2646.476470602837	2314.8918959870307	3639.8859413464284	2872.294101034562	2925.414315606305	1836.1568870148044	1795.6328599966616	1495.7527517084484	3641.717468398892	2532.7439487903694	817.9515534770338	2012.9045359058337	2359.3034758615354	1053.5049789088127	3562.267886573008	2852.922086232336	2389.075609773346	2359.9784455299223	1632.0576378221865	917.161071595858	2368.821550524452	1268.9687003408087	1430.7998727888905	1364.6335669543719	975.0694478381621	1260.9039797647836	585.0682201098941	2140.9417245844033
8000	-17417.255510182742	-189.72546135687787	-17227.530048825865	-17227.530048825865	63.047085238984124	20.854376921893486	1.1531582783158532	313.70081312311606	32.04249559417475	6.0	8.0	1.0	7.0	1.0	-14351.335126500462	3.5290061104165906E-5	1.94137994591466E-16	0.9772727272727271	5948.228796714046	3.52900611041659E-5	0.5282484967624602	0.4717515032375399	0.5	0.5	0.8279792583223494	0.8819675741513697	1380.4551422609645	3261.650889300176	2753.3482428226876	2482.6459208073	3885.1291941653863	3033.8842201948232	2833.6861917857673	1903.5741311036852	1889.337226999719	1550.6784306842583	3654.9280956887196	2445.236903779996	778.0391726556435	2208.19422039853	2432.7600240406146	959.7276316722437	3388.0608424430825	2866.5392707501496	2389.075609773346	2432.1470599514055	1685.0416565988887	996.8315692414232	2076.792027724655	1096.5552537624612	1306.7426079367665	1618.8902182541385	1056.49116544895	1336.5098732390313	640.0566641835504	2248.582981799474
10000	-17370.667527571182	-188.73521896596515	-17181.932308605217	-17181.932308605217	242.66743552884418	15.768826959132715	1.6511774126857508	803.5539995764572	90.2320991786157	4.0	5.0	1.0	11.0	2.0	-14635.440229658272	3.602853430827513E-5	5.704763035724829E-16	0.9772727272727271	6069.9917289894665	3.602853430827513E-5	0.5345747851357446	0.46542521486425553	0.5	0.5	0.9812176379643708	0.7239841771863662	1379.8690487074678	3210.0894514511842	3030.772056301884	2322.438705059688	3791.374425926484	3225.1315593355143	2897.2875936286346	1959.7349464035553	1841.0268869842625	1571.4637870373058	3483.144896789789	2445.236903779996	794.8330100855736	2103.123815487396	2432.7600240406146	1032.5240946307122	3474.0614001808926	2980.2279897848766	2339.756581165281	2435.9977210190636	1638.262832018167	1027.6721611326914	2066.7458322209764	1182.0083105173137	1365.0714184436638	1216.2018568411281	1060.4987112134481	1262.2392649074102	569.7503492613592	2272.2559387161227
12000	-17366.541938395145	-186.47963832885665	-17180.06230006629	-17180.06230006629	2588.195237258691	208.97117425040796	30.26079995925646	1749.7021037414038	1044.17881821674	6.0	1.0	13.0	1.0	2.0	-3921.5665208666387	3.5873287202195376E-5	1.145890253071725E-15	0.9772727272727271	6117.902191308102	3.587328720219537E-5	0.5345747851357446	0.46542521486425553	0.5	0.5	0.9812176379643708	0.7563672336162438	1390.1121020331261	3235.894220603396	2731.8461627105926	2438.010532891081	3868.986192900178	2968.8809928591677	2871.716325247251	1944.136169533502	1835.259066539089	1543.045334038725	3431.2903834251874	2548.783079003675	826.2873553540044	1968.4529153135013	2307.916746890893	951.5455415225101	3306.642467108433	2874.790178661287	2363.0905883257037	2340.5206022458824	1663.5430788137667	1022.2740954188388	2335.2694787927735	1130.7655952114217	1310.707589180227	1466.558116173493	1000.3314547879162	1361.5137492818535	736.252945556977	2125.9835822006403
14000	-17368.970819413633	-192.65895058635536	-17176.311868827277	-17176.311868827277	8061.899921587512	727.2461120671987	829.5107802964525	2664.007673379594	1857.1230939889906	3.0	5.0	1.0	8.0	6.0	-359.22978496415885	3.4440724786426875E-5	9.94627978107056E-16	0.9772727272727274	6072.965081836454	3.444072478642689E-5	0.5345747851357446	0.46542521486425553	0.5	0.5	0.9812176379643708	0.8533664561053884	1314.284307539404	3115.84087334965	3093.815194649677	2389.616843310838	3974.000200681501	3224.87586039038	3166.466623624952	1928.322917126277	1875.9325015248505	1597.479573803687	3538.1467520050533	2559.842486761051	767.2991032213346	2125.8935912919997	2528.8205705256387	998.6522251216854	3538.5257692212585	2876.6151711137136	2371.122898646165	2364.5463785453944	1613.5570667837596	1038.0809297371386	2213.612205781829	1188.890696645023	1323.8251371455865	1559.9295960147915	1139.9816897539006	1293.539646192735	562.6555417495188	2051.5351920263333
16000	-17344.96192779857	-189.39442536655983	-17155.567502432008	-17155.567502432008	20706.017365295287	2011.239513807838	238.61071320198434	15330.2513320223	9858.984780997835	6.0	1.0	3.0	12.0	1.0	-419.27995778984604	3.322986833048001E-5	4.123484103901109E-16	0.9772727272727271	5944.036997482541	3.3229868330480005E-5	0.5380014915402198	0.4619985084597803	0.5	0.5	0.9812176379643708	0.8600914693118658	1392.2946407016539	3274.0960323300965	3273.632273198593	2503.755205160738	4053.3283242350926	3099.1597473678735	2912.287544728975	1975.065167467253	1897.3138723183056	1574.6095791564242	3466.7843254092954	2519.684297576269	746.7858806406948	2006.1288365406253	2324.4718495919965	929.8221529440771	3295.9290179575933	2876.6151711137136	2410.8661883122586	2428.1665879654756	1621.7521192657043	1037.6579730846006	2066.8776649531583	1259.898389815645	1349.7211863384077	1598.0024259106442	976.9813917456406	1293.539646192735	674.8592995976486	2180.3802979288907
18000	-17287.79637221503	-185.87724085659764	-17101.919131358434	-17101.919131358434	41778.61743555367	9620.348985024215	1203.9765287926948	52823.77785936888	9684.587621247976	4.0	6.0	4.0	7.0	2.0	-305.6072360109415	3.432095502461686E-5	9.980989291904968E-16	0.9772727272727274	6153.6858701952215	3.4320955024616853E-5	0.5457851846706938	0.45421481532930624	0.5	0.5	0.9812176379643708	0.8989494459805217	1391.5481071492932	3272.4046370083033	3133.856207147808	2405.073134580625	3964.180659986149	3260.8781690706455	2916.2318307077057	1928.1251034957324	1832.786297615575	1521.1901812761994	3321.5864422310956	2430.2334477275976	745.8204813314668	2039.5900148805122	2432.9861202826273	1039.3686586525894	3422.043473595121	2899.14893023526	2323.9731262974738	2424.28095969106	1657.7345730214288	1018.70120253442	2084.3417660298264	1260.162727333859	1223.4249069807356	1446.1155868720575	1063.1790702372723	1300.7177745651459	706.6048591400297	2255.7929423546334
