# BEAST v1.8.0pre Prerelease r5356, r5356
# Generated Fri Dec 13 13:11:37 NZDT 2013 [seed=1386893497465]
state	posterior	prior	likelihood	treeLikelihood	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline	meanRate	coefficientOfVariation	covariance	treeModel.rootHeight	clock.rate	frequencies1	frequencies2	hfrequencies1	hfrequencies2	bcov.alpha	bcov.s	tmrca(baltic)	tmrca(baltoslav)	tmrca(celtic)	tmrca(germanic)	tmrca(indoiranian)	tmrca(iraniangrp)	tmrca(italic)	tmrca(northwestgermnc)	tmrca(toch)	tmrca(westgermnc)	age(luvian)	age(avestan)	age(oldnorse)	age(latin)	age(oldpersian)	age(oldhighgerman)	age(hittite)	age(vedic)	age(ancientgreek)	age(lycian)	age(gothic)	age(oldchurchslavonic)	age(oscan)	age(oldirish)	age(tocharian_a)	age(classicalarmenian)	age(oldenglish)	age(tocharian_b)	age(oldprussian)	age(umbrian)
0	-27155.954681331983	-294.6294073320071	-26861.325273999977	-26861.325273999977	0.085	0.085	0.085	0.085	0.085	5.0	5.0	5.0	4.0	4.0	-1937986.8061368978	1.9999999999999996E-4	2.7404566767092257E-16	0.9772727272727271	7580.167700000002	2.0E-4	0.5	0.5	0.5	0.5	0.5	0.5	1316.7700000000004	2222.548700000001	2952.6747000000014	2827.6267000000016	6083.651700000002	6083.651700000002	6083.651700000002	2166.5188000000016	2222.548700000001	1868.8903000000028	3450.0	2500.0	800.0	2100.0	2550.0	1000.0	3550.0	3150.0	2400.0	2350.0	1650.0	1000.0	2225.0	1250.0	1375.0	1500.0	1000.0	1375.0	675.0	2200.0
2000	-17843.317728569793	-261.9424585867556	-17581.375269983037	-17581.375269983037	481499.4895370258	69085.3997307344	3685119.569811904	13145.420522456114	7297.006410265693	6.0	1.0	5.0	2.0	9.0	-268.2431299328729	4.308278928437438E-5	1.2721816401535364E-15	0.9772727272727273	4916.523887898364	4.3082789284374355E-5	0.5	0.5	0.5	0.5	0.5	0.7684076463938799	1298.1186220739512	2365.1198681895294	2398.2500889379276	2084.8452045309405	3744.6933942607848	2993.9335462940076	4615.013264791984	1794.090622893222	1841.3810372339337	1563.4776856293277	3359.681204063088	2650.290988088931	987.3274636660576	2164.875792771704	2546.940634282003	928.8591474964853	3400.3243844936537	3298.717657460482	2400.0	2375.6813594523583	1604.2305817547985	791.0549554005282	2266.5785508576	1213.774091378484	1466.3867121505177	965.2828739538272	1093.1087651731905	1361.478316763042	948.1041039764126	2109.4574166431757
4000	-17381.91480104366	-194.21282741557633	-17187.70197362808	-17187.70197362808	5.86930327885877E25	1.9264846602969156E16	1.49004861522645E27	6.068844817775416E23	9.944940585204446E25	3.0	7.0	4.0	5.0	4.0	-1204.016815814417	3.328289845690044E-5	4.1169140966763587E-16	0.9772727272727271	5413.126636436528	3.3282898456900455E-5	0.5032658750943045	0.49673412490569546	0.5	0.5	0.6471459046304392	1.0278296245068375	1345.3861875693804	2768.100479659774	2470.59402193618	2333.803282765883	3845.8619247787137	3231.7124816885257	4175.1131067746255	1864.0943374508668	1797.3066161634392	1548.9449720338393	3423.011337999951	2531.7492224370667	812.2077901893252	1933.490722307041	2599.7590826241944	1048.3751354983365	3400.3243844936537	2947.799462064975	2406.7508700720164	2509.703471272722	1690.440185997667	1002.8934226785263	2167.0023840435106	1038.2157051194033	1395.5341186798205	1498.829442400103	998.3081512235965	1317.1585015367555	702.7859805102855	2186.045224018728
6000	-17224.66928992064	-185.02646073538813	-17039.64282918525	-17039.64282918525	1.1015521472752269E42	1.5098827521833576E39	4.689162727217361E52	4.793992386402711E42	3.9019595106755025E36	6.0	2.0	1.0	9.0	5.0	-2188.29329308631	3.0260352682883134E-5	5.660163451803083E-16	0.9772727272727274	5667.555354291841	3.026035268288313E-5	0.5032658750943045	0.49673412490569546	0.5	0.5	0.6471459046304392	1.1921744188111834	1375.8546755268835	3009.6806587323035	2549.756865065342	2363.4131936988106	3890.9485611292043	3132.9555488360697	2917.1857310565115	1881.2826093619894	1841.4713633932001	1580.7946453041186	3423.011337999951	2531.818976875248	791.1367684504291	2085.2936949260356	2374.3823586817125	1022.0958673966326	3400.3243844936537	2947.799462064975	2386.0166174588708	2540.8250317861825	1692.1240475690265	976.9366770915776	2273.424487880602	1214.1469216139624	1283.283546909351	1360.8119364829781	1017.8460158845711	1378.7402135944783	648.135565458892	2275.8706986513544
8000	-17212.479813117687	-196.7860345436721	-17015.693778574016	-17015.693778574016	1.6490360733357243E59	5.3232174238047906E60	2.2087397968725414E75	1.7766038729008675E66	1.5893212949721995E56	2.0	3.0	2.0	5.0	11.0	-3225.3749751800265	2.82768592391727E-5	0.0	NaN	5894.37424119262	2.827685923917269E-5	0.5032658750943045	0.49673412490569546	0.5	0.5	0.6471459046304392	1.6719851121527007	1431.5241411064248	3179.53048147014	2912.6610775435074	2322.187717801469	3657.80279936602	3121.7591890417957	2955.644142199118	1927.3650022312597	1922.2024565564207	1586.2655507241448	3224.1521438351238	2573.4025113364364	723.7417068994017	2187.8118957389424	2432.076011097182	1024.5772768643938	3243.712067707382	2843.0574386107464	2317.6488508690118	2385.8698133520047	1679.7759704164998	995.5944381637574	2183.5486123331334	1247.7478494931293	1371.310365817636	1534.3515434979925	1026.7186538605688	1338.1889002180046	549.9677305620858	2358.793839272032
10000	-17196.548767172055	-198.46903067661944	-16998.079736495434	-16998.079736495434	3.111993709658891E83	2.9698959457641473E80	1.6122375110680334E97	1.2998263433679866E89	9.643805893392491E78	7.0	3.0	5.0	5.0	3.0	-4592.342051168868	3.076904405359336E-5	4.453269123239432E-16	0.9772727272727271	5479.713711089492	3.076904405359337E-5	0.5052843745348566	0.49471562546514336	0.5	0.5	0.6471459046304392	2.460433193130054	1393.5569317673146	2974.2853745117586	2758.451578114565	2256.1096100941977	3690.6865660831513	2962.6807535564644	2878.8041401375626	1869.8564742824874	1965.924672521497	1532.4594763657667	3252.1143537922885	2510.271547677093	759.8223589518379	2133.204006834407	2433.313519401679	1003.3588425237801	3144.971239050902	2838.7508667494235	2334.576180341446	2452.864613372664	1588.6254691976392	963.2317325323814	2006.8447787487903	1101.8876144869628	1377.9318976327697	1491.3388768968766	1062.0085348417495	1467.9014119470776	629.2165493478262	2274.9231876364283
12000	-17195.566843769066	-197.5866106037363	-16997.98023316533	-16997.98023316533	3.7573944097233993E101	6.779160268527514E107	4.496158436701551E118	8.241254762235912E110	8.785547761962171E102	8.0	2.0	2.0	10.0	1.0	-5705.047922041424	2.873966940109637E-5	7.151587162841578E-16	0.9772727272727274	5566.007759504446	2.8739669401096373E-5	0.5052843745348566	0.49471562546514336	0.5	0.5	0.6155242179442313	2.460433193130054	1421.3449746644637	3128.1660020262534	2866.141673383553	2318.453453011596	3715.6414826827527	3062.7549316215254	2928.761754456371	1848.191864847959	1849.9024079403755	1573.251213616664	3282.1663553636185	2513.7002615965644	714.3022548954187	2011.9477058927473	2417.873851519187	997.0242116461487	3144.971239050902	2786.289124878903	2391.3102779006376	2452.864613372664	1632.3998778171995	1007.8876098698249	2415.7957230700795	1209.2767529438659	1411.6369040006828	1449.6799717034792	902.3366010178333	1426.224981682999	685.3159367429324	2070.940356710314
14000	-17165.067921550548	-198.8438437159317	-16966.224077834617	-16966.224077834617	5.616592101367633E115	3.060102946863195E125	7.598067881092006E142	3.9881482798526914E126	2.0467078166283867E124	3.0	2.0	2.0	5.0	11.0	-6641.592025857833	2.9706499885276175E-5	3.459415473834793E-16	0.9772727272727271	5667.78094999129	2.9706499885276175E-5	0.5093204706965022	0.4906795293034978	0.5	0.5	0.6155242179442313	2.835429671192876	1393.6024608157118	3177.6127431704917	2956.052458171624	2403.1696139323058	3690.194066429335	3035.3383027758837	2918.564946021187	2022.6410362593788	1905.0545283401038	1552.5160743813396	3200.482880821386	2465.360034752141	762.8347217739322	1953.268806083583	2301.8245647035737	1080.647365687441	3523.4930404099023	2877.200013882556	2404.0015656879746	2463.884612674708	1641.4900993909087	1045.212351327772	2454.653845267772	1116.1405052390162	1542.5179607653483	1520.3277389851314	922.6311595260083	1317.2656555912456	620.6603106658526	2318.7645578569873
16000	-17146.36842239619	-196.68949858757486	-16949.678923808617	-16949.678923808617	7.794979304491896E144	6.9417115979371E148	2.2118366775077393E175	3.739606494076284E144	3.891502459467293E154	8.0	1.0	4.0	8.0	2.0	-8001.754535658496	2.9062454979974117E-5	0.0	NaN	5733.249271735148	2.906245497997411E-5	0.510580588105344	0.48941941189465604	0.5	0.5	0.45988932485271466	2.835429671192876	1369.482937148954	3310.8922446782813	3047.1362332699914	2403.0540627806226	3607.0509800490463	2981.999350908079	2916.335069870343	1980.4262500390298	1833.107878036749	1565.4927716398095	3216.5511400262308	2480.3776647559916	808.268428234386	1988.0498882976917	2423.941344647311	913.2239715103633	3171.4046138287085	2756.184710911855	2317.938664523406	2514.287522102393	1643.9456959998367	1045.212351327772	2363.7662062718687	1180.892169772679	1329.941757436526	1409.2848150979055	1070.7541625271615	1311.7172714450232	611.6362803037271	2196.0340751689337
18000	-16984.805915224064	-191.96611618018375	-16792.83979904388	-16792.83979904388	1.8837117101886532E164	2.0656232368910158E175	3.2438718698647105E201	4.682573600096718E170	8.920549017067781E179	1.0	3.0	6.0	12.0	1.0	-9503.419750494479	2.8919093766744988E-5	9.476288222629469E-16	0.9772727272727273	5773.7101504452	2.8919093766744984E-5	0.530903310348768	0.4690966896512319	0.5	0.5	0.45988932485271466	2.835429671192876	1368.2948939568998	3174.497462827449	3248.1011305363827	2410.7515791071855	3797.768745643415	3185.7627605621824	2897.11346535097	1945.785791709409	1812.7545587939458	1542.4345576814324	3216.049730044957	2547.5893290512763	753.9794110499765	2101.533955127527	2497.394014636662	981.3088425787531	3365.0322867877107	2844.4631276522846	2389.572471374598	2338.0294302567577	1615.4494749156738	944.6823397194962	2358.7466481560245	1292.0647083833996	1326.379554719949	1372.154757256772	1041.6605470827315	1349.1410415889354	624.0615111047927	2536.360949868819
