# BEAST v1.8.0pre Prerelease r5356, r5356
# Generated Fri Dec 13 11:38:17 NZDT 2013 [seed=1386887897035]
state	posterior	prior	likelihood	treeLikelihood	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline	meanRate	coefficientOfVariation	covariance	treeModel.rootHeight	clock.rate	binary.frequencies1	binary.frequencies2	tmrca(baltic)	tmrca(baltoslav)	tmrca(celtic)	tmrca(germanic)	tmrca(indoiranian)	tmrca(iraniangrp)	tmrca(italic)	tmrca(northwestgermnc)	tmrca(toch)	tmrca(westgermnc)	age(luvian)	age(avestan)	age(oldnorse)	age(latin)	age(oldpersian)	age(oldhighgerman)	age(hittite)	age(vedic)	age(ancientgreek)	age(lycian)	age(gothic)	age(oldchurchslavonic)	age(oscan)	age(oldirish)	age(tocharian_a)	age(classicalarmenian)	age(oldenglish)	age(tocharian_b)	age(oldprussian)	age(umbrian)
0	-19093.913069815077	-292.15388869785636	-18801.75918111722	-18801.75918111722	0.085	0.085	0.085	0.085	0.085	5.0	5.0	5.0	4.0	4.0	-1937986.8061368978	1.9999999999999996E-4	2.7404566767092257E-16	0.9772727272727271	7580.167700000002	2.0E-4	0.888533238758967	0.111466761241033	1316.7700000000004	2222.548700000001	2952.6747000000014	2827.6267000000016	6083.651700000002	6083.651700000002	6083.651700000002	2166.5188000000016	2222.548700000001	1868.8903000000028	3450.0	2500.0	800.0	2100.0	2550.0	1000.0	3550.0	3150.0	2400.0	2350.0	1650.0	1000.0	2225.0	1250.0	1375.0	1500.0	1000.0	1375.0	675.0	2200.0
2000	-15583.537624521641	-343.34546495573187	-15240.19215956591	-15240.19215956591	1.8871320029103502	0.46196987329856953	0.19142465959347896	0.35016188116471697	0.3238535825897051	10.0	2.0	1.0	5.0	5.0	-130000.99578797362	7.730567754003993E-5	5.317442581024841E-16	0.9772727272727271	5027.466502812218	7.730567754003992E-5	0.9209318677637267	0.07906813223627324	1307.7863760866283	2628.595297833788	1407.6215941424475	1856.0490967315823	3717.105777169223	3649.4250921056077	2931.0773610714505	1662.2316659929118	2040.29183341201	1496.6245418196033	3923.7886303943214	2615.1041281488956	962.770708774275	2264.9893250919868	2652.646269229585	1258.4686807137284	3554.684569416082	3668.0403386461476	2420.3837165829823	2430.177583411853	1713.380754259743	711.2865025314069	2734.465108631329	1160.3561514891835	1648.8458280297175	1218.5892217579012	1244.2103232686502	1019.555544507745	700.1078694437275	2504.7287059810055
4000	-14310.558925238362	-243.4532599044076	-14067.105665333955	-14067.105665333955	0.9524642217626469	0.8463669276305571	2.028042649712933	2.282800159278074	0.2237307757872132	5.0	9.0	3.0	2.0	4.0	-139629.82502197634	3.301176285646811E-5	4.1507275582713624E-16	0.9772727272727271	5508.063072647608	3.3011762856468126E-5	0.9505781673716157	0.04942183262838428	1306.5258928266844	2289.0984397204325	1923.5709810084256	1941.483208881971	3224.480292414752	2814.366985666757	2831.519932792676	1652.4793590616123	1676.6276955312885	1444.1009810174216	3436.7641221487193	2705.2122379105726	885.8080861602642	2128.104093188735	2453.1089978804093	1018.6893825547688	3702.4687630119342	2877.5176225043183	2400.2769025172533	2195.1012100933945	1713.380754259743	1015.9547912958251	2640.6015807540543	1210.845462495333	1378.193033346313	1451.8811748613225	1077.4538095772498	1438.0862672188282	565.2823274726799	2592.6616813658675
6000	-14158.288568881626	-211.5153517898413	-13946.773217091784	-13946.773217091784	4.351520734149328	8.730582664228166	1.6844074132403781	69.50050236926148	0.7162207300206156	2.0	4.0	5.0	4.0	8.0	-43348.202626493265	1.9947140729390405E-5	1.3738593986412296E-15	0.9772727272727273	5593.060759606796	1.9947140729390412E-5	0.9638175754404137	0.03618242455958632	1334.6872559206247	2358.9158734537564	2279.833929507682	2019.5564840993318	3348.3666251143377	2773.416715954531	2813.0702671923814	1754.987038053729	1741.0433130445929	1506.6600898728188	3774.6441619048933	2623.257914694049	855.0051618083762	2023.0671547457732	2464.9876532867456	1072.269533214993	3168.8955897213623	2930.4947249247557	2305.739907296709	2417.363458878775	1640.416576814671	1062.2029773639479	2464.252924426084	1193.627364457347	1420.2130268576975	1308.8017986583563	1077.4538095772498	1387.7584505613752	736.5659446063139	2456.4677393003044
8000	-14103.54965939037	-210.09864108751827	-13893.451018302852	-13893.451018302852	8.806693985929215	113.84492678837529	10.646032588286655	811.4135776434377	5.600646764056264	3.0	12.0	1.0	4.0	3.0	-6677.968888731202	1.3836654281549972E-5	4.951443862342132E-16	0.9772727272727271	5949.2645293741225	1.3836654281549972E-5	0.9703663307808583	0.029633669219141828	1370.3215625659154	2506.312165065983	2369.872123332514	2074.2423930716554	3459.7545732901285	2780.5873657093102	2836.0885870199063	1744.1675843349676	1787.5971727226447	1522.4601826236665	3525.968460102131	2597.7139413742893	842.8831770593047	2038.8854753192406	2345.422818190584	1033.6013566591002	3434.4035270643762	2930.4947249247557	2326.059277225773	2626.431332301594	1626.3900061590875	992.5870347013495	2420.267360821104	1065.5929356033002	1473.7516667742623	1529.5061743386782	1052.8567865481475	1531.8924944355047	736.6148737814951	2456.4677393003044
10000	-14067.06803263973	-192.21024915347	-13874.85778348626	-13874.85778348626	18.932566509266454	327.0693056578303	10.411965185390592	1770.8989742370536	23.421008799945074	6.0	1.0	2.0	5.0	9.0	-5774.710324289881	1.140789620401021E-5	1.501403407177891E-16	NaN	6359.270186817258	1.1407896204010208E-5	0.9729261163895817	0.027073883610418483	1317.8884102428692	2763.9622732835724	2624.466367716387	2127.9255455263215	3546.711306221578	2806.4725784576603	2836.0566046931644	1744.179526048336	1813.5635780952728	1517.5675904291147	3762.002301268692	2531.1993682441594	814.8062459963246	2156.2981745019333	2369.383339159132	1092.3589192840327	3413.311026420935	2983.415103113692	2361.2277855323514	2388.5772194416404	1641.2758595830744	1041.5628454229486	2335.0270924472834	1238.2803588817528	1450.7732699678058	1373.0921580422103	1024.9381906733265	1428.56533749343	583.3511213904918	2410.296507446769
12000	-14047.51519346167	-189.7159804882619	-13857.799212973408	-13857.799212973408	4.806788888961762	2844.807194375127	2.7371993992080172	4755.133981731561	46.21798883934506	1.0	3.0	4.0	12.0	3.0	-18729.01242531404	8.6055288424299E-6	7.961325581750702E-16	0.9772727272727271	6728.187895760544	8.605528842429902E-6	0.9787159777859116	0.02128402221408869	1322.5937423411765	3140.5091531393296	2381.017427458875	2119.8770354404937	3703.7088477280245	2822.5847899847936	2823.232770387979	1817.3594523036224	1820.1329039182942	1541.7339394515811	3559.871748738888	2522.6049836618768	723.5042158169173	2035.1711067692054	2421.5890946027616	1117.8366527380217	3368.6905311894698	2983.415103113692	2400.016681485943	2359.0290971999925	1681.8582397422635	909.0683864460444	2366.401938275556	1231.7265923923028	1487.2419554132857	1365.9289132737977	1015.2811853876514	1415.1199275997635	682.7742415298912	2407.895936039724
14000	-14052.896969507614	-186.97591352589365	-13865.92105598172	-13865.92105598172	79.49273740070939	76761.7248314226	1.8361762463154716	58174.07635781127	1679.36072208479	1.0	2.0	5.0	12.0	3.0	-27643.482708864005	9.10890833680797E-6	5.64102313782908E-16	0.9772727272727271	6630.668787940407	9.108908336807966E-6	0.9778307254008309	0.022169274599169366	1378.7800665104767	3121.162520271316	2659.4952963685905	2248.5252532918357	3578.73738599582	2753.2140215685317	2838.9882900554403	1843.4084809625776	1820.7572203467378	1550.524088415573	3431.6571232014144	2601.5478368831236	823.040029795566	2021.3438245390714	2390.169162911469	1023.5905192985106	3193.575387466844	3053.7115960063666	2449.876126474416	2338.604798378695	1633.6305381072332	956.9503780480985	2491.323648402231	1308.8246444586957	1482.6755857195606	1489.2033273835111	1029.4083644355167	1342.90855405463	635.8404239509418	2270.7148996568053
16000	-14050.261362518553	-194.22642577437776	-13856.034936744176	-13856.034936744176	906.9182059796663	1200805.6016369283	3.165434770014356	256021.72457058833	147.14759189846117	1.0	14.0	1.0	5.0	2.0	-4168.406237624579	8.685772833475064E-6	7.887774436569053E-16	0.9772727272727271	6735.5892742690985	8.685772833475066E-6	0.9780272232561849	0.0219727767438154	1378.7723126139513	3076.9662585833075	2616.9036900679916	2197.7608757802295	3530.377111169718	2887.9389836372748	2814.8365768948834	1847.780268622241	1717.414091566261	1515.0133300771308	3409.9547119589965	2543.7123558318294	822.8320668142209	1998.5084320592173	2530.6268619920684	1063.0019170999	3193.575387466844	2952.176078421072	2328.7005046449576	2344.665171162152	1690.0816358205911	988.9172232391292	2509.4915043812202	1151.3164201056052	1268.1852123973415	1431.0589344637065	1041.1826133680852	1399.0756201428342	680.3107169113803	2495.143834158808
18000	-14039.449620163914	-189.72114745812777	-13849.728472705787	-13849.728472705787	3462.621590309609	2.1513892977433052E7	14.935401302949236	352439.3599316731	710.6379833943414	1.0	7.0	5.0	2.0	8.0	-4492.239796541142	7.3911248630230075E-6	0.0	NaN	7211.301620818331	7.3911248630230075E-6	0.9809896604819885	0.019010339518011687	1379.0752815439585	3021.3442132873906	2734.2940996252964	2194.2062505898384	3713.8426983913305	2905.706788395209	2812.8837516464764	1770.0509455928677	1717.8566080712933	1515.4168248633932	3401.3882196235113	2530.913015837431	805.4656836901597	2003.473191401933	2412.56317894178	1063.0019170999	3343.1699600463767	2921.4336767931613	2389.1120108739046	2356.741525261549	1677.5572992985553	1031.5600836346857	2374.969273763283	1214.9008679517456	1328.1247589775057	1367.48407611106	1084.558839539089	1320.4078706960215	742.1072926442823	2513.4976710132187
