# BEAST v1.6.1, Build r3651
# Generated Fri Dec 13 10:58:55 NZDT 2013 [seed=1386885535471]
state	posterior	prior	likelihood	treeLikelihood	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline	cognate.loss	meanRate	coefficientOfVariation	covariance	treeModel.rootHeight	tmrca(baltic)	tmrca(baltoslav)	tmrca(celtic)	tmrca(germanic)	tmrca(indoiranian)	tmrca(iraniangrp)	tmrca(italic)	tmrca(northwestgermnc)	tmrca(toch)	tmrca(westgermnc)	age(luvian)	age(avestan)	age(oldnorse)	age(latin)	age(oldpersian)	age(oldhighgerman)	age(hittite)	age(vedic)	age(ancientgreek)	age(lycian)	age(gothic)	age(oldchurchslavonic)	age(oscan)	age(oldirish)	age(tocharian_a)	age(classicalarmenian)	age(oldenglish)	age(tocharian_b)	age(oldprussian)	age(umbrian)
0	-30789.226386410137	-285.43156747504264	-30503.794818935094	-30503.794818935094	0.085	0.085	0.085	0.085	0.085	5.0	5.0	5.0	4.0	4.0	-1937986.8061368978	2.1E-5	1.0	0.0	NaN	7580.167700000002	1316.7700000000004	2222.548700000001	2952.6747000000014	2827.6267000000016	6083.651700000002	6083.651700000002	6083.651700000002	2166.5188000000016	2222.548700000001	1868.8903000000028	3450.0	2500.0	800.0	2100.0	2550.0	1000.0	3550.0	3150.0	2400.0	2350.0	1650.0	1000.0	2225.0	1250.0	1375.0	1500.0	1000.0	1375.0	675.0	2200.0
2000	-15497.158285975538	-242.38277840207436	-15254.775507573464	-15254.775507573464	0.735598213306618	0.6173912264817139	1.5747305630384614	0.7615809102303979	0.27261161246971977	3.0	10.0	7.0	1.0	2.0	-1047962.0153710732	2.855896026809189E-5	1.0	0.0	NaN	20768.0559233546	1382.3714760397152	3173.9907393207095	7551.520542023631	2610.49687112927	5898.353438358332	3556.50491461217	4120.442075201655	2196.4331464097613	2083.8410380716173	1580.7057525102891	3664.830882938997	2602.7112282335415	789.3220921743278	1811.3482836749902	2343.76251579086	926.6620132058646	3375.355506575814	2911.3232344584635	2372.312622329602	2494.346544321056	1645.2581942995334	755.4165540010146	2132.9202968385707	1247.3691676661542	1200.7835582644498	1439.0924118883872	808.541073951821	1111.4097046566706	183.93250046527643	2165.448421970354
4000	-14659.363245424169	-231.48463978742615	-14427.878605636743	-14427.878605636743	1.8466539661041586	3.178956918629103	35.41233158777656	2.9365168710790734	0.26101265386234446	1.0	2.0	15.0	3.0	2.0	-71727.24757491713	4.256370299479238E-5	1.0	0.0	NaN	20927.088610780887	1377.9121330503608	3293.047547827024	7794.898845144304	2708.376749994707	6400.574291108153	3742.8038024205484	3993.7131505429093	2172.278108896897	3228.8122593675494	1585.199133653733	3664.830882938997	2606.61900925192	773.1611119062475	2083.731883133819	2287.4232363073247	892.0124653817587	3387.1995393697307	3088.2813635541847	2364.575119303591	2415.0753441231564	1640.589045330757	847.6934772655408	2226.4556723370424	1362.9460756156852	1223.128643193583	1465.496549382776	892.8887223454437	1262.6453426827688	114.2176344894502	2165.448421970354
6000	-14396.991251125082	-209.34371534679934	-14187.647535778284	-14187.647535778284	0.68170247251185	190.78238803519898	213.0852787510924	7.039510886480937	7.600310438901023	7.0	6.0	6.0	3.0	1.0	-221795.6833494085	6.171279643440596E-5	1.0	0.0	NaN	23326.997081341397	1377.885100224008	3293.1071715899207	7494.746483312995	2708.3572936692613	6203.014141873978	3519.7424050174614	2938.776740698759	2168.0127009546645	2649.0438169039153	1585.200236779609	3528.878789872897	2520.723573178791	720.9688128139502	1988.920179421864	2398.7917974892657	957.502505158335	3430.508673779315	3054.608808839639	2440.9509707606826	2548.6352057115055	1668.6589577320296	880.2648867070844	2109.3279602591188	1282.4745041689591	1400.042137432863	1436.7198070116679	861.4190747781544	1321.0689005612326	307.41968287219083	2124.5685247891342
8000	-14220.428042502266	-197.3366589254035	-14023.091383576862	-14023.091383576862	8.605687487709906	1840.6851721307914	1515.8075991037779	9.320529026502339	8.335686295721434	6.0	7.0	4.0	4.0	2.0	-21552.174118603318	8.785135302071576E-5	1.0	0.0	NaN	16690.438190816214	1403.535186508741	3381.98880776201	5068.407062989938	2642.600344214667	5253.824750437906	3185.098522189763	2867.4490687298553	2037.9135461961366	2584.761281841809	1561.6987962956734	3502.518920215517	2594.5454835577198	790.3164957393574	1916.073110952383	2516.586028865664	909.9741861025584	3438.6825901096763	3095.461475463324	2449.113386129046	2433.358507101426	1672.6360435880765	989.3773613348492	2245.777011807876	1191.0606246527605	1523.1595226066706	1458.9411688610542	961.6094138788707	1446.820820985215	295.66019239886936	2278.5206015904937
10000	-14102.439148780295	-194.99714987489165	-13907.441998905404	-13907.441998905404	113.63572690554899	46783.09178565205	21267.019278595944	23.773527894295828	283.23715517977854	9.0	1.0	3.0	4.0	6.0	-8001.538399208471	1.0797654897704425E-4	1.0	0.0	NaN	12777.786028938757	1392.2359946463637	3354.758482517946	5400.6697400112525	2706.6988208029593	4328.341368613828	2978.3619918085255	2844.3679453513805	2109.4507254532837	2178.4543669328473	1553.188276786758	3502.518920215517	2554.1308500355285	690.9538687813017	2104.3923281164557	2425.609226195446	998.707297226626	3534.48553282646	3123.903939934057	2470.2507399461165	2431.896885695555	1671.5207306688449	908.06611945027	2164.206493592298	1325.7624569227783	1447.1453719865256	1531.1908169067374	915.9747778980234	1522.850975992127	431.233979405881	2250.74750401455
12000	-14044.136028063986	-192.02454358788344	-13852.111484476101	-13852.111484476101	198.0034474230858	79843.44196087454	118087.33745065611	387.3093002709684	73.32429101653445	6.0	4.0	8.0	4.0	1.0	-864.6456759281997	1.3404257457097707E-4	1.0	0.0	NaN	11817.094282399337	1401.4997816319253	3354.7480249984987	3925.481955574548	2706.6829049150465	4354.324084735806	3036.445318734876	2844.348098459421	2114.2315272830388	1880.4321853964327	1587.230589571177	3482.720628664088	2556.3383940626723	758.6971894077654	2143.776054594091	2406.2043850659406	968.3358248104083	3535.6101327919655	3135.067006070496	2363.922882955965	2493.813570497776	1645.3977631482594	908.06611945027	2203.4386965946774	1382.125279051551	1285.6527058212228	1448.821394910784	995.1785571785346	1455.6276464990772	538.9971200960041	2426.4493808822745
14000	-14018.93376423708	-176.11860415129854	-13842.81516008578	-13842.81516008578	3406.9725635705922	133929.98084772527	1834398.5482304622	439.22675191499167	451.3921047031218	7.0	1.0	1.0	11.0	3.0	-759.0695696950618	1.4659606443349416E-4	1.0	0.0	NaN	10977.26587237616	1337.5355376874968	3322.7547444460433	3792.0580100288703	2359.3434325415055	4253.702356133903	3010.2867213419504	2821.40516783161	1894.5245436343469	1865.2914872479705	1548.1596189054446	3482.720628664088	2556.3383940626723	794.8887985898003	2125.639203372315	2468.8656959233235	1000.1425851178046	3224.9930179180456	3060.1731303441766	2477.9825065108284	2472.533658331242	1671.7344909513406	975.6069613735519	2247.275518876933	1287.9640794535292	1368.5546278580082	1511.5894584408281	1003.691996951699	1409.34435050953	589.2878353060942	2322.981074112498
16000	-14007.080796955888	-200.8443399666145	-13806.236456989274	-13806.236456989274	55695.99066491384	695450.653110968	5.3830441185391046E7	4975.267192504404	1750.1552266755118	12.0	1.0	1.0	4.0	5.0	-263.66284680114154	1.527209564210353E-4	1.0	0.0	NaN	10160.033680536657	1337.53689290868	3322.7115370046313	3162.8817868232027	2398.7541672406473	4021.5146176033154	2944.6897511017305	2821.433138900949	1916.9770617679446	1815.5289557509257	1514.7094073129333	3482.720628664088	2609.132538865252	814.7367891567977	2217.473974718071	2375.3136387636087	930.9168866659977	3589.903023441741	3057.620426494834	2359.898607702503	2802.8330399361616	1626.6395544120626	982.9493049629831	2247.275518876933	1105.5048063245715	1391.030002301238	1348.9934956348518	956.3591697072553	1307.0792324542933	609.3775227124606	2367.5738570197764
18000	-13995.886844548848	-180.30272860789222	-13815.584115940956	-13815.584115940956	102390.16650528053	747024.6901320363	2.5260074874805567E8	31311.21991262705	187493.83150078592	7.0	12.0	1.0	2.0	1.0	-296.93032986897373	1.532905779487107E-4	1.0	0.0	NaN	8951.640371229494	1330.592111370111	3329.8600306185235	3524.904074588195	2353.511976394585	4182.770104441622	2820.5327155206633	2827.473969763948	1971.1610813560267	1819.4158017810603	1560.0472813337665	3459.625402430586	2492.33400575024	761.8696278017385	2099.887447174191	2357.4544311747873	980.0298105846618	3381.3637130367083	3045.1535726320203	2381.87742821119	2571.8121806180093	1684.2005498404933	1045.0974711824974	2247.275518876933	1229.8572690071396	1401.8854051641374	1443.2724351684433	972.6251443559229	1272.7682546803358	515.1338395597116	2448.107999152733
20000	-13981.681007182504	-178.58066992534745	-13803.100337257156	-13803.100337257156	202223.9893835982	7233762.889917057	2.701742841858291E9	582709.8619255204	789100.0135535254	14.0	4.0	3.0	1.0	1.0	-327.42122985595097	1.648855410847742E-4	1.0	0.0	NaN	8892.055145562852	1326.2578500979396	3318.9738548935193	3154.2788138360033	2345.77793748042	3921.8004342333707	2761.572351043978	2812.8590824825974	1875.5755621542746	1945.2488941914185	1554.9482446815725	3459.625402430586	2484.757787345478	769.2163876087086	2124.1826992966585	2262.923107994992	1019.924089139628	3381.3637130367083	3045.1535726320203	2452.136727164421	2571.8121806180093	1659.1583031777798	1010.1172947348729	2260.7971857498947	1224.168904296321	1407.233615322026	1483.5792075004779	966.3740043629662	1356.0909859757057	661.3030866948736	2278.9431729579155
22000	-13984.339276308665	-178.7046042153892	-13805.634672093276	-13805.634672093276	1626443.3948858345	1.1611879501033E7	1.8904537439055668E10	1088808.1146157112	672185.4839229155	9.0	3.0	1.0	4.0	6.0	-337.5063104585527	1.7313222856985697E-4	1.0	0.0	NaN	8688.48331722002	1347.157162478889	3380.160425924112	3068.8311214406313	2401.7447703248354	3807.799159684235	2859.2844845369596	2817.051717102935	1889.0082126209702	1897.5489496839648	1537.439577356456	3459.625402430586	2624.659248746849	773.1893917943794	2118.329257166359	2437.1818613116525	1084.8448344901733	3381.3637130367083	3045.1535726320203	2381.254775684133	2561.9856892011658	1631.271936392331	920.4217552587057	2332.595045461455	1332.3546212694166	1342.6449521253053	1517.6425065236363	956.891921076489	1346.9266459008888	592.8970183814776	2239.0473134115878
24000	-13989.008350786924	-179.59983852404287	-13809.40851226288	-13809.40851226288	2551169.6884168913	2.2994497753619307E8	4.691389541742005E10	1.796058290719246E7	9553658.892479975	7.0	2.0	4.0	6.0	4.0	-404.6209138720271	1.746610189203184E-4	1.0	0.0	NaN	8314.723712684501	1330.5685412107405	3292.0440093322454	3043.9808665586334	2401.693862032548	3890.1096596866923	2718.3964611249776	2817.0313385235813	1984.3400667118976	1897.497036739728	1591.9495988854508	3459.625402430586	2544.5030843797367	828.0489394286949	2052.6264848553315	2295.9716754971637	1057.3161936308509	3437.737637020126	2981.1413427751795	2378.0430693697363	2479.2918966988414	1666.5213368668435	1032.1599861012692	2322.8411023971685	1251.7066393895586	1294.1981096088	1400.4830481234412	947.9922231782621	1438.1634211091052	555.8485366209175	2411.794374426326
26000	-13977.46361276692	-176.03866538553302	-13801.424947381387	-13801.424947381387	1.461384309706143E7	2.689563810149907E8	1.72922324202726E11	8.881235317634059E8	6.076863756892758E7	6.0	8.0	2.0	1.0	6.0	-434.165129823984	1.7887379109115492E-4	1.0	0.0	NaN	9069.27298457388	1340.764733586448	3306.302979746088	2997.949900281173	2315.408446179559	3992.800667242286	2866.2661865326513	2827.2556974216714	1917.6711375793761	1783.3313695551915	1532.7025147124623	3459.625402430586	2500.4013455597283	807.9474339060181	2052.5763313262605	2295.9716754971637	1020.0737718490537	3499.914566344512	3158.2976017879873	2378.955479392064	2415.734775184038	1675.3821546428194	995.9339070099618	2263.2935081232395	1202.9419694181358	1356.5918411543641	1448.9888158517065	944.521478037591	1311.7711867927892	744.7316535525649	2393.532981172855
28000	-13979.987118433583	-180.80442428198222	-13799.182694151601	-13799.182694151601	1.4617961651562078E7	4.3199831574928266E8	3.046395041074716E11	1.685820715575059E9	1.388742417373079E8	7.0	7.0	1.0	3.0	5.0	-438.60321277062616	1.7554444755391255E-4	1.0	0.0	NaN	8148.502905691168	1372.3025464484901	3379.0306642028477	3195.900448240285	2307.859226129532	3763.576034206908	2806.492466127585	2817.967369091684	1958.323104449307	1795.2758378468636	1561.8461232586717	3459.625402430586	2500.4013455597283	811.8061007942329	2013.0113279656089	2374.2430891889494	948.9532049731964	3431.5990047638056	3067.2683304040543	2374.1943449156106	2540.364905948161	1630.8130628977501	938.6657082800893	2242.9783094590325	1125.0439173610696	1321.963220309499	1412.0336063445925	943.9600172028939	1360.003073742152	573.5086299470298	2417.0805205033853
30000	-13991.65467015597	-186.28077990005008	-13805.37389025592	-13805.37389025592	5.740387173259555E8	4.306147900178498E9	2.0816825467909702E12	6.477669910334885E9	2.4671368768764086E9	11.0	5.0	3.0	1.0	3.0	-505.3303030728831	1.914332580246093E-4	1.0	0.0	NaN	7986.118044195802	1372.2737083304671	3262.9878896335235	3252.4609335973987	2254.983696337521	3763.630820339705	2908.6733808005515	2817.9686601892595	1950.6408210652617	1795.2685720898844	1543.3664136004988	3405.051878859936	2500.4013455597283	850.7344632326569	2198.008243715892	2549.448056366787	1142.9466991032812	3283.8739238005546	2898.234994761994	2378.482372796844	2524.946909500041	1630.8130628977501	981.2025370559735	2242.9783094590325	1231.1087024368474	1396.3827086664132	1449.561742180677	1086.375995638513	1479.8034186848085	718.9554945575883	2379.9864813998497
